EmploymentRatio,GDP,InequalityIndex,AnnualInflation,AnnualGHGEmissions,NaturalDisasters,Died,DiedPer100K,DiedCancer,DiedCancerPer100K,DiedLowerResp,DiedLowerRespPer100K,LifeExpectancy
56.1,40563768946.95,0.3760505,1.358695652,499794780,0,139693,784.1753677,23181,130.1279892,6030,33.84978107,70.9758
56.1,13040000000.00,0.3760505,4.927518869,222010990,0,402545,1065.727265,12516,33.13577974,61812,163.6456389,55.0168
56.1,541988586206.90,0.3760505,1.457975986,3704502300,2,1711982,954.6907483,267627,149.2428197,67973,37.90530171,69.8132
55.8,41038192837.90,0.3760505,1.018766756,492325980,1,140985,773.0161254,23650,129.6721734,5696,31.23098096,71.2185
55.8,14160000000.00,0.3760505,1.608759691,202288910,1,388857,997.9377949,12864,33.01334885,58586,150.3513725,55.8315
55.4,561940310344.83,0.3760505,1.070724148,3641309000,2,1701522,929.503925,273502,149.4081079,56206,30.70409763,70.2385
55.5,42336211555.83,0.3760505,1.061571125,498361900,1,143699,773.823371,24519,132.0355412,5934,31.95476575,71.24
55.5,15200000000.00,0.3760505,1.198984178,192060780,1,378104,940.6667478,13168,32.76003358,55360,137.7274802,56.5985
55.5,603639413793.10,0.3760505,1.198773348,3817338000,3,1756720,945.037092,278562,149.8539451,61113,32.8760712,70.1035
55.5,45140337826.99,0.3760505,1.628151261,508455040,0,147367,779.8846317,25077,132.7106266,7055,37.33594412,71.2699
55.5,16960000000.00,0.3760505,0.594055008,191680590,0,412833,995.6811682,14136,34.09356566,68583,165.4102302,57.3102
55.4,637058551724.14,0.3760505,1.239669421,3926235600,3,1813549,961.2943066,285362,151.2596935,71900,38.11149335,69.9321
55.6,49503663836.37,0.37874901,1.912144703,533391600,0,145850,758.2531843,25637,133.2830777,5356,27.84507408,71.6424
55.6,20080000000.00,0.37874901,2.337903172,197755870,1,408275,954.5585698,14933,34.91377901,60147,140.6253978,57.947
55.7,684144620689.66,0.38144752,1.278911565,4070473000,6,1798051,939.5629432,289577,151.3170752,60449,31.58733559,70.1896
56,54649410478.52,0.37823464,2.332657201,538765950,1,148939,761.0188544,26050,133.1051045,5662,28.93056052,71.7518
56,21840000000.00,0.37823464,3.568038657,198572300,1,404163,915.9739518,15440,34.99241102,60238,136.5202626,58.4992
56.2,741904862068.97,0.37502176,1.585169264,4214946000,3,1828136,943.2230237,297588,153.5399189,62907,32.45673776,70.2417
56.6,61252415404.69,0.37644187,3.815659068,535578560,1,149863,748.7609169,26848,134.1407359,6088,30.41749106,71.8708
56.6,24320000000.00,0.37644187,4.215788377,205565220,1,424141,931.7738369,15729,34.55424182,67240,147.7161434,58.9807
56.9,813032758620.69,0.37786198,3.015075377,4411892700,6,1863149,951.2802708,303736,155.0804924,64602,32.98426914,70.2045
57.1,65856924423.97,0.37338204,3.579952267,561255040,0,150283,736.5008576,28007,137.2555746,5301,25.97892673,72.0842
57.1,26560000000.00,0.37338204,3.016948475,216152060,3,420298,895.0850546,15724,33.48652004,62552,133.2134827,59.4196
57.3,859620034482.76,0.3689021,2.772785623,4767269400,5,1851323,935.6590166,310983,157.1708708,57850,29.23740164,70.5187
57.4,72048833006.16,0.3660959,4.055299539,580487550,0,153196,738.5075203,28615,137.9435017,6297,30.35576552,72.2406
57.4,29360000000.00,0.3660959,2.333950935,220419650,3,452910,935.146725,15937,32.90594899,78852,162.8098067,59.8349
57.5,940225000000.00,0.3632897,4.271796153,5065780000,3,1930082,965.7170019,318547,159.3850696,73492,36.77174022,70.2021
57.8,79405011124.82,0.36172665,4.561558902,579635600,0,154477,733.474194,29627,140.6723328,6176,29.32434357,72.3985
57.8,32480000000.00,0.36172665,3.367003367,222128750,2,458886,970.6942505,17133,36.24190887,71871,152.0307146,60.2503
58,1017438172413.79,0.3601636,5.4623862,5155831000,7,1921990,951.8524572,323092,160.0091125,68365,33.85730063,70.4785
57.7,88192257632.31,0.36325671,3.346039814,614114000,1,155961,731.3871694,30483,142.9516038,6008,28.17482649,72.6118
57.7,35520000000.00,0.36325671,5.003412055,237763970,1,485656,957.9958576,18415,36.32508137,83676,165.057698,60.6898
57.4,1073303000000.00,0.36634982,5.838255338,5397935000,3,1921031,940.4279588,330730,161.9066735,62739,30.71346048,70.7353
57,99606454743.51,0.37257144,2.704918033,629306800,2,157272,728.3910021,31036,143.7404188,5504,25.49127674,72.9514
57,39200000000.00,0.37088562,5.469028994,253006270,1,458323,873.828408,18389,35.0600572,70200,133.8417541,61.1551
56.6,1164850000000.00,0.3691998,4.292766688,5414903000,3,1927542,934.7380366,337398,163.6170543,57194,27.73553431,71.0957
56.8,113463848873.62,0.36792184,4.988028731,654441700,0,162413,744.2763134,32265,147.8580856,5825,26.69373465,72.828
56.8,45200000000.00,0.36792184,4.943692364,264248510,1,476206,877.475585,19217,35.4099871,69087,127.302377,61.6143
57,1279110000000.00,0.36664388,3.272278247,5620446000,5,1963944,943.1609278,345618,165.9789656,62580,30.05330644,71.172
57.4,131764343565.64,0.3491035,7.487647282,661961800,0,164039,743.1894275,33069,149.8212692,5607,25.40288053,73.0715
57.4,55280000000.00,0.35512922,12.08193946,275715260,4,458915,817.1417888,19963,35.54601948,67504,120.1972899,62.0549
57.8,1425376000000.00,0.36115494,6.177760064,5818450400,7,1973003,940.1923269,351055,167.2877423,62559,29.81115172,71.3883
57.8,160949188139.06,0.357969105,10.99717115,666865150,2,166794,744.7723406,33751,150.7057284,5648,25.21957732,73.1446
57.8,72000000000.00,0.357969105,23.78401544,290020480,1,433104,747.1586669,20912,36.07582022,56547,97.5506602,62.4588
57.8,1545243000000.00,0.35478327,11.0548048,5640086500,2,1934388,915.0845124,360472,170.5254294,54777,25.91289045,71.9499
57,174419757176.56,0.34094694,10.6721886,668457100,2,167176,735.5864636,34019,149.6860549,6051,26.62483665,73.451
57,88000000000.00,0.348724005,14.94453464,306010460,1,433926,727.9666188,21613,36.25858449,53620,89.95443947,62.8105
56.1,1684904000000.00,0.35650107,9.143146865,5486884400,5,1892879,878.5088065,365693,169.7226928,55664,25.83435825,72.5337
57.143,207271612576.07,0.3560615,7.54173863,675271360,1,167009,725.3471272,34832,151.2810156,6041,26.23704109,73.8726
57,88875923765.07,0.3560615,15.82472249,333819780,2,454112,741.501896,22601,36.90429751,60942,99.50983138,63.1235
56.8,1873412000000.00,0.35562193,5.744812635,5763923000,1,1909440,877.6492326,377312,173.4265477,61866,28.43590133,72.8339
56.879,212325176304.65,0.3373513,7.976445396,695357950,2,167498,719.1502334,36050,154.7801521,5205,22.347592,74.1557
57.4,81912018783.50,0.34620546,29.06412471,348047300,1,448261,712.9977598,23982,38.14543821,49685,79.02827526,63.4339
57.9,2081826000000.00,0.35505962,6.501683995,5943735000,6,1899597,864.3961595,386686,175.9583182,51193,23.29495814,73.2152
57.486,219369542386.25,0.351488095,8.973723352,705458750,0,168179,715.959983,37189,158.3184334,5131,21.84333759,74.4848
58.4,102648570299.12,0.351488095,17.45729257,377843360,3,416424,645.669968,24216,37.54717294,43093,66.81616797,63.7779
59.3,2351599000000.00,0.34791657,7.630963839,5958844400,5,1927788,868.0015309,396992,178.7487337,58319,26.25858304,73.397
58.879,243891124295.72,0.3347417,9.144676979,727986800,1,168183,710.5143089,38584,163.0038951,4304,18.18289355,74.8395
59.4,134531900898.93,0.34117297,18.1912463,409027140,2,425976,644.2088554,26076,39.43506234,41317,62.48421807,64.1886
59.9,2627333000000.00,0.34760424,11.25447113,6046968300,4,1913841,852.236081,403395,179.6323592,45584,20.29861912,73.8202
59.426,274776566028.05,0.34739412,10.12922051,732351170,1,171473,716.3692117,39578,165.3465016,4924,20.57118029,75.0637
59.3,205577055465.99,0.34739412,26.35165136,449387900,4,432547,638.3386098,26375,38.92335592,40080,59.14874333,64.7026
59.2,2857307000000.00,0.347184,13.54920197,5872623600,8,1989841,875.8025898,416509,183.3210095,55261,24.32240913,73.7172
60.087,307246642755.86,0.32966557,12.47161241,717005250,1,171029,702.5740248,40414,166.0176148,4656,19.12649118,75.4839
59.5,263797827860.49,0.342278935,27.9337626,475089280,2,421762,591.9441743,27957,39.23772953,35791,50.23277095,65.3132
59,3207041000000.00,0.3548923,10.33471534,5774493700,4,1977981,862.4365593,422094,184.0408462,54304,23.67755551,74.1052
57.287,314647807408.61,0.32932413,10.7689719,691329600,1,174413,708.2761421,41964,170.4121827,5447,22.11979695,75.6939
57.5,184602611609.52,0.347972635,58.91341985,538636160,6,409777,560.4132904,29415,40.2281166,29968,40.98440246,65.9747
57.8,3343789000000.00,0.36662114,6.131427,5515050000,13,1974797,852.9187938,433795,187.3569325,49389,21.33120838,74.4526
56.947,341866277182.73,0.369777355,5.86358803,683804860,1,174484,701.0261232,42865,172.219142,5997,24.09420727,76.0673
57.4,156167000432.99,0.369777355,101.8749384,494706620,3,410860,547.0620348,30566,40.69877368,28944,38.53907301,66.6439
57.9,3634038000000.00,0.37293357,3.212435233,5474607000,12,2019201,862.976481,442986,189.325629,56406,24.10708562,74.5432
57.668,356718400123.54,0.33520237,4.304778304,715416060,1,175727,699.3302266,44784,178.224205,5547,22.07506397,76.3556
58.6,184230754105.39,0.4852701,65.44880713,501714800,2,407278,547.765418,31784,42.74764668,29099,39.13647656,67.2904
59.5,4037613000000.00,0.3734555,4.300535475,5723398000,14,2039369,862.334351,453492,191.7562391,59438,25.13298435,74.6658
58.752,366186012449.65,0.33176625,3.962030541,704896200,2,181323,715.0355304,46333,182.7111907,5927,23.3727414,76.3472
59.4,195241069482.08,0.354092625,57.7484484,504887420,1,410937,517.7159055,34844,43.89795276,28003,35.27937008,67.8739
60.1,4338979000000.00,0.376419,3.545644152,5677805000,15,2086440,873.9381754,461563,193.3329145,68215,28.57292452,74.6421
59.764,379006836991.72,0.31680998,4.194786291,683992000,4,184224,727.8905383,47448,187.4725891,6453,25.4965566,76.4892
60.2,134556034672.99,0.34619267,86.23331699,560502600,1,396561,488.351559,35930,44.24658884,22840,28.12669327,68.3876
60.7,4579631000000.00,0.37557536,1.898047722,5635206700,7,2105361,873.3038825,469376,194.697196,70400,29.20192467,74.7218
60.61,433134238310.71,0.31655663,4.356108712,710089600,3,184953,721.7649882,48617,189.7241377,6005,23.43405489,76.7956
61.1,147542558208.89,0.344264745,131.8273839,568819460,3,404699,511.577843,37330,47.18865349,22577,28.53946504,68.8435
61.5,4855215000000.00,0.37197286,3.664563218,5800030700,11,2123323,872.3594906,476927,195.9437141,69773,28.66598192,74.8538
61.661,509380027626.55,0.31201127,4.028234149,738928700,2,190011,732.9738112,50756,195.7929739,6753,26.0499242,76.8595
62,181611150496.79,0.344535305,114.1622585,594420700,5,411462,508.7062954,39292,48.57821077,20913,25.85554621,69.2532
62.3,5236438000000.00,0.37705934,4.077741107,6037165600,22,2167999,881.9923761,485048,197.3287986,78297,31.85303917,74.828
62.187,567211993243.24,0.3101912,4.9836219,748686100,2,190965,728.359746,51300,195.6633675,6703,25.5659172,77.1216
62.6,221403098266.77,0.50112903,20.00787671,638835700,3,421836,510.2278775,40555,49.05292951,24408,29.52247327,69.6226
63,5641580000000.00,0.3823879,4.82700303,6123800000,19,2150466,866.2850467,496152,199.8678698,77183,31.0920883,75.1038
61.685,596075591360.99,0.3137178,4.780476933,747974600,1,191973,722.2650709,52426,197.2437197,6736,25.3430301,77.4308
62.2,261253675692.84,0.34817335,26.65167256,640487040,3,421736,499.1785621,41125,48.67670383,23903,28.29226144,69.9707
62.8,5963144000000.00,0.3826289,5.39795644,6100743700,24,2148463,863.8433226,505322,203.1773577,80146,32.22470526,75.3699
59.709,612527712315.62,0.31950226,5.625864086,730887000,2,195568,716.4476552,53964,197.6927783,6834,25.03580993,77.5917
57.98,313139656145.75,0.34998071,22.66235946,617435650,4,410425,475.5077451,41953,48.60565616,20943,24.26401585,70.2977
61.7,6158129000000.00,0.38045916,4.234963965,6050073600,36,2169518,860.315572,514657,204.0856224,78493,31.12615346,75.5227
58.345,594387358318.86,0.31567687,1.490132904,750113000,3,196535,691.1582664,54840,192.8568414,6689,23.52332991,77.8501
58.64,363157832923.73,0.52311224,15.50789625,603677500,3,409427,473.9522861,43684,50.56855475,20091,23.25732152,70.6161
61.5,6520327000000.00,0.38373882,3.028819678,6168840000,32,2175613,852.9223471,520578,204.0862091,76296,29.91090943,75.7776
57.904,579053561739.40,0.31682763,1.865079365,753086900,1,204912,707.8868277,56192,194.1202888,7105,24.54485784,77.7229
59.324,530160763983.51,0.36023653,9.751460454,606933400,8,416029,472.8913472,44939,51.08120888,19830,22.54034073,70.9423
61.7,6858559000000.00,0.40364543,2.951656966,6267119000,30,2268553,880.024284,529904,205.5620425,83482,32.38460255,75.567
58.382,579944346807.26,0.31308895,0.165562914,775333900,3,207077,707.9240923,57324,195.9707774,7356,25.14760028,77.8991
58.718,553618247900.74,0.5342256,6.965812372,628397000,2,418908,467.7186507,46422,51.83103498,20612,23.01368517,71.2787
62.579,7287236000000.00,0.39986804,2.607441592,6396844500,16,2278994,875.3880488,534310,205.234673,82051,31.5167415,75.7377
58.673,605961090061.21,0.31513026,2.148760331,797978000,4,210733,711.7891245,57810,195.2638139,7419,25.059025,78.0194
57.145,380157469866.85,0.3568401,34.99927129,614209900,11,430101,471.8855189,48218,52.90240188,21023,23.06539456,71.6457
62.948,7639749000000.00,0.39854994,2.805419689,6406957000,18,2312132,879.9563701,538455,204.9264087,83455,31.76149063,75.8536
58.451,630607994132.75,0.32768053,1.570531125,819113660,2,212859,717.3756989,59238,199.6434337,7524,25.35732461,78.271
58.131,432157945024.43,0.51974005,34.37838322,622831500,6,436185,468.2757297,49916,53.5883887,21909,23.52087523,72.0369
63.223,8073122000000.00,0.40309733,2.9312042,6593704400,15,2314690,872.5334906,539533,203.3795505,84213,31.74449401,76.1753
58.968,654986999855.55,0.33116943,1.621216381,835827460,3,215668,718.6897046,58703,195.6212407,8073,26.90237766,78.4642
60.265,523449530464.26,0.3682133,20.62562873,663452900,9,440259,465.3359448,51251,54.17023276,21050,22.24899806,72.4454
63.844,8577552000000.00,0.40525717,2.337689937,6679778000,33,2314245,864.6983722,539577,201.6084527,86914,32.47469232,76.498
59.735,634000000000.00,0.33217245,0.995942457,840680770,3,218091,720.999833,60597,200.3311777,9140,30.21646227,78.6739
60.364,557461102630.66,0.5328452,15.92839501,692939600,10,444665,462.9211231,52670,54.83241441,18000,18.73900625,72.8448
64.06,9062817000000.00,0.3995361,1.552279099,6724498400,32,2337256,864.6944027,541532,200.3459139,92323,34.15594241,76.66
60.56,678412196271.12,0.33060935,1.734842951,849990660,3,219530,719.5505453,61650,202.0693806,9068,29.72206234,78.8851
60.401,631249359702.39,0.365233775,16.58561697,689201660,11,443950,455.4041802,53662,55.04651226,17507,17.95869126,73.2249
64.253,9631172000000.00,0.3998582,2.188027197,6826686500,22,2391399,876.9635375,549838,201.6342223,64380,23.60915621,76.6718
61.272,744773415931.59,0.33418295,2.719439957,891822700,1,218062,708.2042662,62672,203.5410928,5094,16.54388446,79.2335
60.06,742061329643.37,0.5342036,9.491561494,700514700,8,437667,442.5355773,54996,55.60777168,15509,15.68152104,73.5692
64.396,10250952000000.00,0.40140685,3.376857271,7011058000,31,2403351,854.0028153,553091,196.5344517,65853,23.40009736,76.8114
61.149,738981792355.37,0.33554783,2.52512014,911113200,3,219538,707.7019557,63774,205.5816511,4872,15.70536275,79.4507
59.387,796064590656.18,0.370757815,6.367738062,709822340,6,441004,439.693042,55891,55.72485467,14253,14.21063058,73.8668
63.663,10581929000000.00,0.4059678,2.826171119,6817620000,27,2416425,848.4731085,553768,194.4431366,62474,21.93633528,76.9285
61.737,760649334098.01,0.3356031,2.258394409,899465200,4,223603,712.7336997,65103,207.5155613,4822,15.37010639,79.568
56.204,810666116505.48,0.50583386,5.030727332,711480200,8,457680,450.0969555,58328,57.36159592,14803,14.55773736,74.1059
62.732,10929108000000.00,0.40354446,1.586031627,6821997600,32,2443387,847.3135084,557271,193.2494714,66169,22.94597112,77.0005
62.444,895540646634.79,0.33809465,2.758563214,907308700,7,226169,714.1618894,65990,208.3731328,5057,15.96822144,79.7396
56.265,765549967703.27,0.372910275,4.546900121,740620100,9,470692,456.6233435,59873,58.08343767,14768,14.32659475,74.2743
62.277,11456450000000.00,0.4077259,2.270094973,6922700300,23,2448288,841.8834832,556902,191.4997727,65688,22.58788274,77.1536
62.638,1026690238278.25,0.33776483,1.857258719,900651600,4,226584,708.3084319,66947,209.2783453,5831,18.22788223,80.0332
56.534,819459227375.02,0.50344104,4.688408848,738406900,3,471679,451.3029775,61042,58.40505163,15295,14.63427255,74.372
62.345,12217196000000.00,0.40253353,2.677236693,6985552400,20,2397615,816.4722894,553888,188.6183576,60114,20.47093266,77.5581
62.604,1173108598778.68,0.33621806,2.213552034,894764900,5,230132,712.4940897,67343,208.4955134,5950,18.42134007,80.1364
57.218,917571853529.10,0.50941753,3.988057146,764501700,7,493957,465.9742975,62981,59.41312145,15977,15.07190171,74.3765
62.689,13039197000000.00,0.4096537,3.392746845,7035077600,16,2448017,825.887677,559312,188.695131,63535,21.43480767,77.5573
62.836,1319264809590.97,0.3409054,2.002025395,863744800,5,228079,700.9837758,67807,208.3997513,5250,16.13548298,80.5466
57.988,1020265057882.01,0.49712664,3.629467624,781458400,7,493296,458.6233714,63777,59.294263,16162,15.02601061,74.3313
63.12,13815583000000.00,0.41398576,3.225944101,6936557000,29,2426299,810.3912109,559896,187.0069589,56727,18.94698973,77.8386
63.307,1468820407783.26,0.33841008,2.138383993,881690900,3,235217,714.2767344,69595,211.3371454,5568,16.9081863,80.5495
57.923,1102355554971.95,0.37319789,3.966849055,774358100,7,502075,459.899873,63767,58.41046696,15089,13.82149915,74.2384
62.987,14474228000000.00,0.4079857,2.852672482,7009083400,23,2423895,803.7322912,562894,186.6483838,53083,17.60163754,78.1004
63.349,1552989690721.65,0.33930567,2.370270674,843577900,2,238617,715.7585669,70558,211.646668,5477,16.42887838,80.7388
57.614,1161553459715.10,0.50845385,5.124982746,769420900,3,536335,483.9901533,66660,60.15416413,15866,14.31752127,74.1524
62.177,14769862000000.00,0.4081219,3.839100297,6825357300,22,2471984,814.5297978,565469,186.3245677,56642,18.66379265,78.1958
61.584,1374625142157.29,0.33952153,0.299466803,785375500,3,238418,706.5054909,71125,210.7651395,5914,17.52499171,81.0737
56.683,943437415024.63,0.372254965,5.297355842,750852350,8,550946,489.8870337,67095,59.65915085,19137,17.01612892,74.119
59.32,14478067000000.00,0.40610814,-0.355546266,6315083300,17,2437944,795.913736,567710,185.3398548,54075,17.6538244,78.564
61.569,1617343367486.26,0.33592603,1.776871541,790780740,1,240075,703.0516145,71886,210.5157487,5192,15.20459849,81.3469
56.497,1105424238731.09,0.47658798,4.156727227,751734400,9,578572,507.1057713,68962,60.44369275,17650,15.46984103,74.1901
58.472,15048971000000.00,0.40010712,1.640043442,6518205000,16,2469288,799.0926551,574866,186.0338682,50390,16.3068378,78.7724
61.797,1793326630174.52,0.32657078,2.912135089,814090200,4,242074,700.8682522,72477,209.8400833,5839,16.90544926,81.5286
56.688,1229013703416.76,0.372254965,3.407378246,772154700,12,576662,498.430911,70042,60.53996599,16973,14.67040979,74.3651
58.372,15599732000000.00,0.40937114,3.156841569,6356485600,23,2515458,807.312834,576708,185.0890652,54142,17.37637101,78.82
61.903,1828366481521.60,0.33539012,1.515678231,812203260,3,246596,706.1330627,74361,212.9343569,5793,16.58838275,81.7221
57.478,1255110424817.79,0.49597645,4.111509811,784205700,3,587826,501.2408744,71841,61.25902165,17538,14.95470166,74.574
58.561,16253970000000.00,0.4093686,2.069337265,6166373400,25,2543279,809.8482796,582652,185.5320316,50938,16.22002606,78.9441
62.047,1846597421834.98,0.3379898,0.938291898,825172000,3,252338,714.9088432,75112,212.8028003,6690,18.95370559,81.8029
57.346,1327436290282.67,0.372254965,3.806390697,780049400,5,596129,501.6773901,71916,60.52151663,18701,15.73798435,74.7391
58.584,16880683000000.00,0.40652013,1.464832656,6284353000,28,2596993,820.7928521,584905,184.8622015,57320,18.11627767,78.9507
61.654,1805749878439.94,0.33157605,1.906635907,840806600,2,258821,725.7137571,77059,216.0673841,6735,18.88441106,81.8545
56.928,1364507717614.13,0.48913074,4.018616081,834547460,8,618097,513.5610009,75652,62.8573134,21845,18.15045222,74.7974
59.007,17608138000000.00,0.41511607,1.622222977,6360943000,20,2626418,824.172306,591727,185.6844593,55571,17.43822926,79.0175
61.582,1556508816217.14,0.33746484,1.125241361,849021950,1,264333,733.7146508,77054,213.8804035,7769,21.56457621,81.9246
57.269,1213294467716.88,0.37492632,2.72064065,861164740,4,640890,525.9307088,78009,64.01617853,20414,16.75224998,74.6822
59.343,18295019000000.00,0.4123878,0.118627136,6195904500,29,2712630,845.3765541,595955,185.7261714,57420,17.89463426,78.8694
61.283,1527994741907.43,0.32701823,1.428759547,811570600,2,267213,734.4457887,79084,217.3655876,6337,17.417502,82.0434
57.442,1112233497452.70,0.46912822,2.821707847,898376300,7,671536,544.4884603,80954,65.63835567,23159,18.77756107,74.4122
59.729,18804913000000.00,0.41121885,1.261583206,6074719700,27,2744248,849.5703131,598071,185.1521316,51850,16.05183669,78.8482
61.802,1649265644244.09,0.33308205,1.596884129,839291200,3,276689,753.2622357,79844,217.3684893,7499,20.41538878,82.0192
57.387,1190721475906.00,0.372443825,6.04145724,854950600,7,688468,551.7573049,82492,66.11137133,23404,18.75661318,74.1378
60.114,19612102000000.00,0.4118056,2.130110004,6091480000,24,2813503,865.4675275,599136,184.3014749,56027,17.23458236,78.8213
61.955,1725329192783.02,0.3250927,2.268225672,836759500,4,285704,770.6200278,79726,215.0423247,8746,23.59029892,82.0508
57.677,1256300182879.73,0.45955244,4.899350154,871456830,4,705149,558.79594,84066,66.61817501,29267,23.19265967,74.0146
60.422,20656516000000.00,0.41407844,2.442583297,6277740000,20,2839205,868.0028798,599302,183.2188454,59490,18.18730642,78.9896
62.295,1743725183672.52,0.31749648,1.949269024,833164300,2,285301,762.6116425,80372,214.834939,7022,18.76985694,82.3628
58.08,1305211135822.61,0.36642608,3.635961421,878178370,6,729057,571.4708814,86791,68.03107201,31862,24.97500912,74.2021
60.784,21521395000000.00,0.41535568,1.812210075,6195233300,21,2854838,867.5607312,599623,182.220276,50133,15.23498781,79.138
58.107,1655684730000.19,0.430653275,0.716999632,756597400,2,308412,817.1552689,81223,215.2049933,6041,16.00597571,82.0471
53.052,1120832412468.85,0.44595087,3.396834156,862767300,8,1069958,829.8574064,88954,68.99255459,58879,45.66644133,70.1328
56.772,21322950000000.00,0.3968309,1.233584396,5630234000,23,3383729,1022.266435,602372,181.984041,53918,16.28929552,77.4144
60.468,2007472181464.15,0.397170925,3.395193185,768046000,3,311640,818.6424138,82822,217.5638621,4146,10.89106484,82.6565
56.489,1313069763986.60,0.397170925,5.689208477,899521860,9,1098301,843.1462582,87979,67.53992271,54668,41.96765699,70.2127
58.361,23594031000000.00,0.39751095,4.697858864,5961865700,29,3464231,1040.574994,605243,181.8010205,42147,12.65998551,77.1982